"(15.0, 0.0)","(-15.9347040932176, 6.34617991886236)","(-51.1728667972001, 5.81904366783232)","(-38.0, -7.8)","(-33.5869611296245, -11.7866331260073)","(-17.4780119564817, -21.7618286940251)","(-23.6800277332785, -52.0813704533051)"
"(14.999703912842056, 0.09424715948338426)","(-15.9495154432078, 6.36925617530295)","(-51.1871073908207, 5.80525518856844)","(-38.0, -7.8)","(-33.5787766772150, -11.7779931745270)","(-17.4463584447422, -21.7151885563076)","(-23.5768869057784, -52.0492656475394)"
"(14.998815663057242, 0.1884905982502891)","(-15.9646560142783, 6.39279060585374)","(-51.2016257146169, 5.79116803568674)","(-38.0, -7.8)","(-33.5706526646035, -11.7693764555215)","(-17.4150286613390, -21.6687998300545)","(-23.4745680983238, -52.0171374122021)"
"(14.997335285712134, 0.28272659573112263)","(-15.9801284182955, 6.41678392872068)","(-51.2164219049564, 5.77678025576358)","(-38.0, -7.8)","(-33.5625882375237, -11.7607820138516)","(-17.3840213026189, -21.6226653033610)","(-23.3730754913941, -51.9849913360005)"
"(14.995262839249499, 0.37695143165006217)","(-15.9959352678754, 6.44123677968899)","(-51.2314960396904, 5.76208990660197)","(-38.0, -7.8)","(-33.5545825896865, -11.7522089488778)","(-17.3533350510435, -21.5767877324557)","(-23.2724130843006, -51.9528330218704)"
"(14.992598405485975, 0.47116138617192438)","(-16.0120791753283, 6.46614971036901)","(-51.2468481370619, 5.74709505823019)","(-38.0, -7.8)","(-33.5466349604622, -11.7436564127885)","(-17.3229685755667, -21.5311698413722)","(-23.1725846991415, -51.9206680832845)"
"(14.989342089608838, 0.56535274004901814)","(-16.0285627515852, 6.49152318647886)","(-51.2624781546393, 5.73179379390708)","(-38.0, -7.8)","(-33.5387446327031, -11.7351236090407)","(-17.2929205320138, -21.4858143216294)","(-23.0735939845283, -51.8885021406984)"
"(14.98549402017187, 0.65952177476797358)","(-16.0453886051129, 6.51735758616729)","(-51.2783859882852, 5.71618421113046)","(-38.0, -7.8)","(-33.5309109306771, -11.7266097909089)","(-17.2631895634636, -21.4407238319221)","(-22.9754444190941, -51.8563408181463)"
"(14.981054349090263, 0.75366477269654331)","(-16.0625593408134, 6.54365319837865)","(-51.2945714711539, 5.70026442265033)","(-38.0, -7.8)","(-33.5231332181263, -11.7181142601327)","(-17.2337743006325, -21.3959009978206)","(-22.8781393148043, -51.8241897399627)"
"(14.976023251634626, 0.84777801723036783)","(-16.0800775589126, 6.57041022126374)","(-51.3110343727242, 5.68403255748297)","(-38.0, -7.8)","(-33.5154108964342, -11.7096363656658)","(-17.2046733622606, -21.3513484114806)","(-22.7816818200679, -51.7920545276321)"
"(14.970400926424073, 0.94185779293970062)","(-16.0979458538352, 6.59762876063821)","(-51.3277743978651, 5.66748676192841)","(-38.0, -7.8)","(-33.5077434028961, -11.7011755025162)","(-17.1758853555003, -21.3070686313628)","(-22.6860749226678, -51.7599407967634)"
"(14.964187595418379, 1.0359003857160867)","(-16.1161668130714, 6.62530882849217)","(-51.3447911859443, 5.65062520058602)","(-38.0, -7.8)","(-33.5001302090828, -11.6927311106613)","(-17.1474088763060, -21.2630641819628)","(-22.5913214525435, -51.7278541541695)"
"(14.95738350390921, 1.1299020829189907)","(-16.1347430160323, 6.65345034155311)","(-51.3620843099727, 5.63344605737063)","(-38.0, -7.8)","(-33.4925708193002, -11.6843026740515)","(-17.1192425098264, -21.2193375535520)","(-22.4974240844043, -51.6958001950602)"
"(14.949988920510448, 1.2238591735223632)","(-16.1536770328974, 6.68205311990459)","(-51.3796532757865, 5.61594753652665)","(-38.0, -7.8)","(-33.4850647691357, -11.6758897196948)","(-17.0913848307974, -21.1758912019275)","(-22.4043853401809, -51.6637845003444)"
"(14.942004137147588, 1.3177679482611475)","(-16.1729714234554, 6.71111688566389)","(-51.3974975212806, 5.59812786363787)","(-38.0, -7.8)","(-33.4776116240818, -11.6674918167961)","(-17.0638344039372, -21.1327275481744)","(-22.3122075913790, -51.6318126340210)"
"(14.9334294690462, 1.4116246997777147)","(-16.1926287359378, 6.74064126172034)","(-51.4156164156761, 5.57998528663405)","(-38.0, -7.8)","(-33.4702109782439, -11.6591085759849)","(-17.0365897843425, -21.0898489784376)","(-22.2208930612584, -51.5998901406732)"
"(14.924265254719502, 1.5054257227682235)","(-16.2126515058476, 6.77062577053724)","(-51.4340092588421, 5.56151807679231)","(-38.0, -7.8)","(-33.4628624531138, -11.6507396485896)","(-17.0096495178854, -21.0472578437050)","(-22.1304438269283, -51.5680225430510)"
"(14.914511855954984, 1.5991673141288987)","(-16.2330422547848, 6.80106983301947)","(-51.4526752806582, 5.54272452973041)","(-38.0, -7.8)","(-33.4555656964190, -11.6423847259859)","(-16.9830121416117, -21.0049564596015)","(-22.0408618213000, -51.5362153397402)"
"(14.904169657800125, 1.6928457731022251)","(-16.2538034892691, 6.83197276744890)","(-51.4716136404296, 5.52360296639362)","(-38.0, -7.8)","(-33.4483203810357, -11.6340435389959)","(-16.9566761841400, -20.9629471061944)","(-21.9521488349505, -51.5044740029190)"
"(14.893239068547205, 1.7864574014230459)","(-16.2749376995595, 6.86333378849001)","(-51.4908234263496, 5.50415173403239)","(-38.0, -7.8)","(-33.4411262039639, -11.6257158573474)","(-16.9306401660615, -20.9212320278101)","(-21.8643065178711, -51.4728039761959)"
"(14.881720519717168, 1.8799985034645639)","(-16.2964473584766, 6.89515200626764)","(-51.5103036550151, 5.48436920716926)","(-38.0, -7.8)","(-33.4339828853619, -11.6174014891827)","(-16.9049026003398, -20.8798134328614)","(-21.7773363811264, -51.4412106725197)"
"(14.869614466042599, 1.9734653863842375)","(-16.3183349202227, 6.92742642551843)","(-51.5300532709926, 5.46425378855534)","(-38.0, -7.8)","(-33.4268901676405, -11.6091002806199)","(-16.8794619927120, -20.8386934936870)","(-21.6912397984193, -51.4096994721766)"
