"[9.4062562538192864, 1.128288885109292]","[-15.9101151971474, 20.0044975471840]","[-42.8219464955070, -2.74982774600228]","[-24.0, -4.9263157894736835]","[-34.9659886095780, -26.3614320797301]","[-16.1361690163086, -28.4687204245050]","[-8.74318526762803, -58.5200665421102]"
"[9.3989813808739999, 1.187367475872356]","[-15.9514121941265, 20.0178603661310]","[-42.8255249927053, -2.78100023409993]","[-24.0, -4.9263157894736835]","[-34.9253174883460, -26.3778359309909]","[-16.0920332284690, -28.4539318030007]","[-8.64928278135624, -58.4929910088143]"
"[9.3913354522374295, 1.246399191400571]","[-15.9929227798958, 20.0312162227662]","[-42.8290680854562, -2.81232309403733]","[-24.0, -4.9263157894736835]","[-34.8848629215002, -26.3943827545288]","[-16.0481500350126, -28.4391364597791]","[-8.55542376969647, -58.4657690598794]"
"[9.3833187697577465, 1.3053817012228868]","[-16.0346466319474, 20.0445639602016]","[-42.8325749999103, -2.84379593222033]","[-24.0, -4.9263157894736835]","[-34.8446243848843, -26.4110736386062]","[-16.0045196817078, -28.4243358809498]","[-8.46160952260257, -58.4384012257183]"
"[9.3749316499198496, 1.3643126768108098]","[-16.0765834219506, 20.0579024188550]","[-42.8360449611401, -2.87541835054369]","[-24.0, -4.9263157894736835]","[-34.8046013493897, -26.4279096631263]","[-15.9611424103897, -28.4095315486830]","[-8.36784133344445, -58.4108880337360]"
"[9.3661744238328701, 1.42318979167033]","[-16.1187328156711, 20.0712304365044]","[-42.8394771931894, -2.90718994634235]","[-24.0, -4.9263157894736835]","[-34.7647932810928, -26.4448918995436]","[-15.9180184590470, -28.3947249411675]","[-8.27412049913957, -58.3832300083910]"
"[9.3570474372170942, 1.4820107214337661]","[-16.1610944728928, 20.0845468483439]","[-42.8428709191239, -2.93911031234301]","[-24.0, -4.9263157894736835]","[-34.7251996413923, -26.4620214107743]","[-15.8751480619112, -28.3799175325694]","[-8.18044832028730, -58.3554276712580]"
"[9.3475510503903276, 1.5407731439515286]","[-16.2036680473385, 20.0978504870399]","[-42.8462253610831, -2.97117903661659]","[-24.0, -4.9263157894736835]","[-34.6858198871519, -26.4792992511093]","[-15.8325314495449, -28.3651107929916]","[-8.08682610130268, -58.3274815410912]"
"[9.3376856382536655, 1.5994747393837945]","[-16.2464531865916, 20.1111401827887]","[-42.8495397403314, -3.00339570253094]","[-24.0, -4.9263157894736835]","[-34.6466534708378, -26.4967264661277]","[-15.7901688489325, -28.3503061884337]","[-7.99325515054537, -58.2993921338890]"
"[9.3274515902766808, 1.6581131902920887]","[-16.2894495320190, 20.1244147633747]","[-42.8528132773114, -3.03575988870403]","[-24.0, -4.9263157894736835]","[-34.6076998406631, -26.5143040926108]","[-15.7480604835690, -28.3355051807528]","[-7.89973678045569, -58.2711599629606]"
"[9.3168493104820698, 1.7166861817307748]","[-16.3326567186937, 20.1376730542299]","[-42.8560451916959, -3.06827116895816]","[-24.0, -4.9263157894736835]","[-34.5689584407287, -26.5320331584591]","[-15.7062065735517, -28.3207092276250]","[-7.80627230767947, -58.2427855389918]"
"[9.3058792174296823, 1.7751914013384436]","[-16.3760743753182, 20.1509138784943]","[-42.8592347024423, -3.10092911227401]","[-24.0, -4.9263157894736835]","[-34.5304287111699, -26.5499146826084]","[-15.6646073356711, -28.3059197825071]","[-7.71286305320461, -58.2142693701162]"
"[9.2945417442000071, 1.8336265394292022]","[-16.4197021241493, 20.1641360570767]","[-42.8623810278468, -3.13373328274597]","[-24.0, -4.9263157894736835]","[-34.4921100882992, -26.5679496749485]","[-15.6232629835024, -28.2911382945999]","[-7.61951034248601, -58.1856119619819]"
"[9.2828373383770746, 1.8919892890838559]","[-16.4635395809221, 20.1773384087175]","[-42.8654833855988, -3.16668323953727]","[-24.0, -4.9263157894736835]","[-34.4540020047547, -26.5861391362425]","[-15.5821737274983, -28.2763662088109]","[-7.52621550557783, -58.1568138178250]"
"[9.270766462030787, 1.9502773462409808]","[-16.5075863547755, 20.1905197500513]","[-42.8685409928367, -3.19977853683642]","[-24.0, -4.9263157894736835]","[-34.4161038896463, -26.6044840580476]","[-15.5413397750814, -28.2616049657190]","[-7.43297987726057, -58.1278754385413]"
"[9.2583295916986739, 2.0084884097878857]","[-16.5518420481786, 20.2036788956712]","[-42.8715530662034, -3.23301872381365]","[-24.0, -4.9263157894736835]","[-34.3784151687039, -26.6229854226371]","[-15.5007613307379, -28.2468560015385]","[-7.33980479716730, -58.0987973227580]"
"[9.24552721836708, 2.0666201816514556]","[-16.5963062568566, 20.2168146581940]","[-42.8745188219034, -3.26640334457818]","[-24.0, -4.9263157894736835]","[-34.3409352644299, -26.6416442029229]","[-15.4604385961114, -28.2321207480849]","[-7.24669160991552, -58.0695799669111]"
"[9.2323598474517823, 2.124670366888874]","[-16.6409785697183, 20.2299258483256]","[-42.8774374757595, -3.29993193813607]","[-24.0, -4.9263157894736835]","[-34.3036635962461, -26.6604613623804]","[-15.4203717700972, -28.2174006327408]","[-7.15364166522903, -58.0402238653195]"
"[9.2188279987780408, 2.1826366737782261]","[-16.6858585687839, 20.2430112749288]","[-42.8803082432711, -3.33360403834850]","[-24.0, -4.9263157894736835]","[-34.2665995806482, -26.6794378549734]","[-15.3805610489372, -28.2026970784222]","[-7.06065631806636, -58.0107295102618]"
"[9.2049322065600681, 2.2405168139089704]","[-16.7309458291132, 20.2560697450901]","[-42.8831303396717, -3.36741917389073]","[-24.0, -4.9263157894736835]","[-34.2297426313580, -26.6985746250810]","[-15.3410066263158, -28.1880115035464]","[-6.96773692874605, -57.9810973920563]"
"[9.1906730193799486, 2.2983085022722807]","[-16.7762399187349, 20.2691000641893]","[-42.8859029799881, -3.40137686821179]","[-24.0, -4.9263157894736835]","[-34.1930921594761, -26.7178726074259]","[-15.3017086934555, -28.1733453219990]","[-6.87488486306847, -57.9513279991379]"
"[9.1760510001659785, 2.3560094573512558]","[-16.8217403985763, 20.2821010359690]","[-42.8886253791003, -3.43547663949429]","[-24.0, -4.9263157894736835]","[-34.1566475736397, -26.7373327270026]","[-15.2626674392134, -28.1586999431035]","[-6.78210149244467, -57.9214218181416]"
"[9.1610667261704357, 2.4136174012109888]","[-16.8674468223934, 20.2950714626048]","[-42.8912967518007, -3.46971800061553]","[-24.0, -4.9263157894736835]","[-34.1204082801764, -26.7569558990081]","[-15.2238830501783, -28.1440767715896]","[-6.68938819401605, -57.8913793339819]"
"[9.1457207889468037, 2.4711300595884973]","[-16.9133587367022, 20.3080101447774]","[-42.8939163128553, -3.50410045910854]","[-24.0, -4.9263157894736835]","[-34.0843736832618, -26.7767430287735]","[-15.1853557107684, -28.1294772075634]","[-6.59674635077775, -57.8612010299362]"
"[9.1300137943264073, 2.5285451619825046]","[-16.9594756807102, 20.3209158817449]","[-42.8964832770642, -3.53862351712414]","[-24.0, -4.9263157894736835]","[-34.0485431850790, -26.7966950116968]","[-15.1470856033288, -28.1149026464778]","[-6.50417735170113, -57.8308873877296]"
"[9.113946362394497, 2.5858604417430802]","[-17.0057971862491, 20.3337874714160]","[-42.8989968593237, -3.57328667139341]","[-24.0, -4.9263157894736835]","[-34.0129161859761, -26.8168127331760]","[-15.1090729082307, -28.1003544791034]","[-6.41168259185474, -57.8004388876194]"
"[9.097519127465775, 2.6430736361611191]","[-17.0523227777073, 20.3466237104248]","[-42.9014562746889, -3.60808941319092]","[-24.0, -4.9263157894736835]","[-33.9774920846278, -26.8370970685452]","[-15.0713178039699, -28.0858340915004]","[-6.31926347252405, -57.7698560084810]"
